TAZ,access_nearby_sov,access_transit,access_walk,W_NHBW_sov_AM,W_NHBW_sov_MD,W_NHBW_sov_PM,W_NHBW_sov_NT,W_NHBW_hov2_AM,W_NHBW_hov2_MD,W_NHBW_hov2_PM,W_NHBW_hov2_NT,W_NHBW_hov3_AM,W_NHBW_hov3_MD,W_NHBW_hov3_PM,W_NHBW_hov3_NT,W_NHBW_auto_pay_AM,W_NHBW_auto_pay_MD,W_NHBW_auto_pay_PM,W_NHBW_auto_pay_NT,W_NHBW_walkbike_AM,W_NHBW_walkbike_MD,W_NHBW_walkbike_PM,W_NHBW_walkbike_NT,W_NHBW_t_AM,W_NHBW_t_MD,W_NHBW_t_PM,W_NHBW_t_NT,W_NHBO_sov_AM,W_NHBO_sov_MD,W_NHBO_sov_PM,W_NHBO_sov_NT,W_NHBO_hov2_AM,W_NHBO_hov2_MD,W_NHBO_hov2_PM,W_NHBO_hov2_NT,W_NHBO_hov3_AM,W_NHBO_hov3_MD,W_NHBO_hov3_PM,W_NHBO_hov3_NT,W_NHBO_walkbike_AM,W_NHBO_walkbike_MD,W_NHBO_walkbike_PM,W_NHBO_walkbike_NT,W_NHBO_t_AM,W_NHBO_t_MD,W_NHBO_t_PM,W_NHBO_t_NT,N_NHBSHP_sov_AM,N_NHBSHP_sov_MD,N_NHBSHP_sov_PM,N_NHBSHP_sov_NT,N_NHBSHP_hov2_AM,N_NHBSHP_hov2_MD,N_NHBSHP_hov2_PM,N_NHBSHP_hov2_NT,N_NHBSHP_hov3_AM,N_NHBSHP_hov3_MD,N_NHBSHP_hov3_PM,N_NHBSHP_hov3_NT,N_NHBSHP_auto_pay_AM,N_NHBSHP_auto_pay_MD,N_NHBSHP_auto_pay_PM,N_NHBSHP_auto_pay_NT,N_NHBSHP_walkbike_AM,N_NHBSHP_walkbike_MD,N_NHBSHP_walkbike_PM,N_NHBSHP_walkbike_NT,N_NHBSHP_t_AM,N_NHBSHP_t_MD,N_NHBSHP_t_PM,N_NHBSHP_t_NT,N_NHBO_sov_AM,N_NHBO_sov_MD,N_NHBO_sov_PM,N_NHBO_sov_NT,N_NHBO_hov2_AM,N_NHBO_hov2_MD,N_NHBO_hov2_PM,N_NHBO_hov2_NT,N_NHBO_hov3_AM,N_NHBO_hov3_MD,N_NHBO_hov3_PM,N_NHBO_hov3_NT,N_NHBO_auto_pay_AM,N_NHBO_auto_pay_MD,N_NHBO_auto_pay_PM,N_NHBO_auto_pay_NT,N_NHBO_walkbike_AM,N_NHBO_walkbike_MD,N_NHBO_walkbike_PM,N_NHBO_walkbike_NT,N_NHBO_t_AM,N_NHBO_t_MD,N_NHBO_t_PM,N_NHBO_t_NT
1811,6.09668,0,0,2.99982,3.15879,7.39097,6.35063,0.670677,0.70624,1.65257,1.41987,0.0313265,0.0329607,0.0770214,0.0662749,0.0228058,0.0241691,0.0569782,0.0485435,0,0,0,0,0,0,0,0,0.273033,0.287622,0.673455,0.578217,0.0470723,0.0495673,0.115981,0.0996536,0.0122654,0.0129155,0.0302204,0.0259662,0,0,0,0,0,0,0,0,1.40729,4.80947,2.78411,2.79505,1.81265,5.15627,2.31009,1.16406,0.299569,2.92927,1.64568,1.37128,0.00432028,0.041339,0.023213,0.0192437,0,0,0,0,0,0,0,0,1.35565,3.78906,2.24848,2.44257,1.26994,3.71465,2.00898,1.81454,0.56628,1.69322,0.771742,0.410459,0.210441,0.594958,0.448918,0.660109,0,0,0,0,0,0,0,0
1812,6.11589,0,0,0.987439,0.909106,1.88282,1.83435,0.220974,0.203402,0.421257,0.410412,0.0102181,0.00944219,0.0195426,0.0190576,0.00603465,0.0055235,0.0115199,0.0111389,0,0,0,0,0,0,0,0,0.0903865,0.0830472,0.172048,0.167544,0.0155052,0.0142737,0.0295611,0.0288008,0.0040401,0.00371922,0.00770257,0.00750447,0,0,0,0,0,0,0,0,0.344523,0.887869,0.529522,0.615239,0.441345,1.14791,0.498907,0.259428,-0.00254932,-0.00663099,-0.00288014,-0.00149902,0,0,0,0,0,0,0,0,0,0,0,0,0.366038,0.942601,0.570832,0.678098,0.326598,0.84386,0.461575,0.464342,0.135535,0.352618,0.153243,0.0796938,0.0365381,0.0934273,0.0654088,0.0928121,0,0,0,0,0,0,0,0
1813,5.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,5.67746,0,0,1.09014,0.984619,2.03653,1.9845,0.243933,0.220297,0.455632,0.444005,0.0112528,0.0101869,0.0210745,0.0205385,0.0063398,0.00571405,0.011856,0.0115093,0,0,0,0,0,0,0,0,0.0998893,0.090109,0.186347,0.181585,0.0171151,0.0154577,0.0319708,0.031155,0.0044596,0.00402772,0.00833046,0.00811789,0,0,0,0,0,0,0,0,0.336488,0.863739,0.507024,0.574743,0.505569,1.30902,0.569459,0.295818,-0.00305702,-0.00791589,-0.00344228,-0.00178938,0,0,0,0,0,0,0,0,0,0,0,0,0.366499,0.940104,0.560547,0.650658,0.329501,0.847931,0.457333,0.447303,0.149276,0.386591,0.168172,0.0873662,0.0426294,0.108496,0.0759562,0.10808,0,0,0,0,0,0,0,0
1815,5.59674,0,0,0.593498,0.537274,1.10955,1.08363,0.132823,0.120224,0.248272,0.242477,0.00613119,0.00556432,0.0114917,0.0112268,0.0034705,0.00313009,0.00648797,0.006308,0,0,0,0,0,0,0,0,0.0543739,0.0491552,0.101505,0.0991224,0.00931946,0.00843603,0.0174211,0.0170146,0.00242832,0.00219813,0.00453931,0.0044334,0,0,0,0,0,0,0,0,0.156716,0.401536,0.245408,0.295847,0.219012,0.566886,0.246614,0.128558,-0.00133767,-0.00346298,-0.00150591,-0.00078585,0,0,0,0,0,0,0,0,0,0,0,0,0.172822,0.442457,0.2746,0.338082,0.149716,0.384654,0.215144,0.225652,0.0640421,0.165816,0.072133,0.0376084,0.021384,0.0543333,0.0389789,0.0568678,0,0,0,0,0,0,0,0
1816,5.48982,0,0,1.42854,1.50363,3.49921,3.02648,0.319269,0.336056,0.782116,0.676404,0.0150674,0.0158487,0.0368185,0.0319061,0.0101386,0.0107415,0.0252889,0.0215904,0,0,0,0,0,0,0,0,0.129334,0.13618,0.317212,0.274072,0.0224145,0.0235926,0.0549053,0.0474868,0.00584041,0.0061474,0.0143064,0.0123734,0,0,0,0,0,0,0,0,0.518108,1.52929,0.887525,0.923023,0.858512,2.41377,1.07825,0.545409,0.0378564,0.39623,0.223683,0.188119,0.00048583,0.00464926,0.00261083,0.00216441,0,0,0,0,0,0,0,0,0.556287,1.53856,0.908644,0.985457,0.513545,1.44445,0.777441,0.705344,0.249097,0.710396,0.318914,0.163976,0.0757526,0.209976,0.1515,0.213491,0,0,0,0,0,0,0,0
1817,5.67289,0,0,1.44157,1.30079,2.68892,2.6216,0.322633,0.291092,0.601704,0.586657,0.0148276,0.013411,0.0277287,0.0270377,0.00846066,0.00761711,0.0157937,0.0153415,0,0,0,0,0,0,0,0,0.132347,0.119272,0.246512,0.240337,0.0226347,0.0204232,0.0422164,0.0411607,0.00589781,0.00532156,0.0110001,0.010725,0,0,0,0,0,0,0,0,0.542678,1.51201,0.858034,0.910706,0.839136,2.17977,0.94815,0.49257,0.0484686,0.440229,0.239049,0.208377,0.000347394,0.00291729,0.00157488,0.00135815,0,0,0,0,0,0,0,0,0.568547,1.46389,0.848373,0.942708,0.526025,1.37828,0.725424,0.673674,0.249387,0.659733,0.28873,0.153137,0.066974,0.171786,0.118524,0.165991,0,0,0,0,0,0,0,0
1818,6.50545,0,0,0.753621,0.840783,2.10386,1.69623,0.16851,0.188024,0.470607,0.379327,0.00792096,0.00882296,0.0219797,0.0178031,0.00491264,0.0055917,0.0144528,0.011271,0,0,0,0,0,0,0,0,0.0683931,0.0763765,0.191591,0.154072,0.0118291,0.0131983,0.0330301,0.026627,0.00308224,0.00343901,0.00860646,0.00693804,0,0,0,0,0,0,0,0,0.291736,0.860596,0.535105,0.592748,0.333592,1.01354,0.464588,0.229019,-0.00185918,-0.00563334,-0.00257811,-0.00127323,0,0,0,0,0,0,0,0,0,0,0,0,0.30316,0.893387,0.563687,0.63811,0.271446,0.808213,0.462839,0.443776,0.105889,0.321491,0.147303,0.0726457,0.0239346,0.0699201,0.0497188,0.0656189,0,0,0,0,0,0,0,0
1901,7.8776,0,0.224903,39.229,27.8961,60.6284,55.747,8.79479,6.25385,13.5919,12.4978,0.39323,0.279565,0.607412,0.558894,0.304929,0.214791,0.466671,0.430677,0.496237,0.27361,0.480942,0.448653,0,0,0,0,3.6531,2.59789,5.64692,5.1908,0.616571,0.438433,0.952865,0.876178,0.160656,0.11424,0.248283,0.228301,0.00978271,0.00837774,0.0169116,0.0169636,0,0,0,0,20.1943,77.4954,43.3511,34.4094,14.3324,29.8963,13.5548,6.64601,10.7429,70.1614,40.428,32.0325,0.143453,0.900131,0.524996,0.407955,0.0971241,0.802552,0.425983,0.378273,0,0,0,0,11.5655,24.2034,12.8199,10.5159,13.232,32.8933,16.9945,12.2614,5.61235,14.219,6.90416,4.02373,0.73719,1.92056,1.20711,1.26858,0.0772167,0.197287,0.084898,0.0448746,0,0,0,0
1902,7.29929,0,0.215809,28.8989,19.5996,43.7282,38.9202,6.47751,4.39299,9.80117,8.72348,0.290047,0.196769,0.438737,0.390894,0.219964,0.14829,0.330907,0.294943,1.49827,0.826099,1.45209,1.3546,0,0,0,0,2.6888,1.82326,4.069,3.61995,0.454132,0.307991,0.687146,0.611606,0.118331,0.0802514,0.179046,0.159363,0.0337166,0.0288743,0.0582867,0.0584661,0,0,0,0,6.15049,13.512,7.45231,6.04446,7.55568,15.1206,6.98036,3.34348,0.415177,2.74021,1.62154,1.26384,0.00604592,0.0367823,0.0218521,0.0166229,0.291058,2.40506,1.27657,1.1336,0,0,0,0,5.72698,11.4744,6.33258,5.30967,5.88871,11.9768,6.18986,4.39527,2.57537,5.24533,2.43994,1.1914,0.401376,0.81236,0.557649,0.642751,0.247829,0.633195,0.272482,0.144026,0,0,0,0
