avg_workers,wrk0,wrk1,wrk2,wrk3
1.41,0.1992,0.3141,0.3718,0.1149
1.42,0.1964,0.3116,0.3761,0.1159
1.43,0.1936,0.3092,0.3803,0.1169
1.44,0.1908,0.3068,0.3845,0.1179
1.45,0.1879,0.3043,0.3889,0.1189
1.46,0.1851,0.3019,0.3931,0.1199
1.47,0.1822,0.2995,0.3975,0.1208
1.48,0.1794,0.2971,0.4018,0.1217
1.49,0.1765,0.2947,0.4063,0.1225
1.5,0.1737,0.2923,0.4106,0.1234
