inc_ratio,incL,incML,incMH,incH
1.84,0.045,0.1072,0.3416,0.5062
1.85,0.0447,0.1063,0.3391,0.5099
1.86,0.0443,0.1054,0.3365,0.5138
1.87,0.044,0.1045,0.3339,0.5176
1.88,0.0437,0.1038,0.3313,0.5212
1.89,0.0433,0.103,0.3287,0.525
1.9,0.043,0.1024,0.326,0.5286
1.91,0.0426,0.1017,0.3234,0.5323
1.92,0.0422,0.1012,0.3207,0.5359
1.93,0.0418,0.1007,0.318,0.5395
1.94,0.0414,0.1002,0.3153,0.5431
1.95,0.041,0.0998,0.3126,0.5466
1.96,0.0406,0.0995,0.3098,0.5501
1.97,0.0402,0.0992,0.3071,0.5535
1.98,0.0397,0.0989,0.3043,0.5571
1.99,0.0393,0.0987,0.3015,0.5605
2,0.0388,0.0985,0.2987,0.564
2.01,0.0384,0.0984,0.2959,0.5673
2.02,0.0379,0.0984,0.2931,0.5706
2.03,0.0374,0.0983,0.2903,0.574
2.04,0.0369,0.0984,0.2874,0.5773
2.05,0.0364,0.0984,0.2846,0.5806
2.06,0.0359,0.0985,0.2818,0.5838
2.07,0.0354,0.0987,0.2789,0.587
2.08,0.0348,0.0989,0.2761,0.5902
2.09,0.0343,0.0991,0.2732,0.5934
2.1,0.0338,0.0994,0.2704,0.5964
2.11,0.0332,0.0997,0.2675,0.5996
2.12,0.0327,0.1,0.2647,0.6026
2.13,0.0321,0.1004,0.2618,0.6057
2.14,0.0315,0.1008,0.259,0.6087
2.15,0.0309,0.1012,0.2561,0.6118
2.16,0.0304,0.1017,0.2533,0.6146
2.17,0.0298,0.1022,0.2504,0.6176
2.18,0.0292,0.1027,0.2476,0.6205
2.19,0.0286,0.1033,0.2447,0.6234
2.2,0.028,0.1038,0.2419,0.6263
2.21,0.0274,0.1044,0.2391,0.6291
2.22,0.0268,0.105,0.2363,0.6319
2.23,0.0262,0.1057,0.2335,0.6346
2.24,0.0256,0.1063,0.2307,0.6374
2.25,0.025,0.107,0.228,0.64
