origin_dist,dest_dist,obs,gan,diff,pct_diff
1,1,74,31.977686,-42.02231407165527,-0.5678691090764226
1,2,4,1.0852164,-2.9147835969924927,-0.7286958992481232
1,3,22,25.34669,3.346689224243164,0.15212223746559836
1,4,10,1.4915857,-8.508414268493652,-0.8508414268493653
1,5,4,7.069578,3.069578170776367,0.7673945426940918
1,6,5,3.7836056,-1.2163944244384766,-0.2432788848876953
1,8,2,7.900467,5.9004669189453125,2.9502334594726562
1,9,16,31.87016,15.870159149169922,0.9918849468231201
1,10,3,2.7135453,-0.2864546775817871,-0.09548489252726237
1,12,1,18.449074,17.449073791503906,17.449073791503906
1,14,1,0.98525244,-0.014747560024261475,-0.014747560024261475
1,15,7,4.2560954,-2.7439045906066895,-0.3919863700866699
1,23,2,8.107943,6.107942581176758,3.053971290588379
1,24,3,7.448533,4.448533058166504,1.482844352722168
1,25,2,2.3833025,0.3833024501800537,0.19165122509002686
1,27,2,0.18941832,-1.8105816841125488,-0.9052908420562744
2,1,15,17.151398,2.151397705078125,0.143426513671875
2,2,13,11.441961,-1.5580387115478516,-0.11984913165752704
2,3,14,8.701192,-5.2988080978393555,-0.3784862927028111
2,4,5,7.6320558,2.6320557594299316,0.5264111518859863
2,5,29,47.852184,18.852184295654297,0.6500753205398033
2,6,1,0.71177155,-0.28822845220565796,-0.28822845220565796
2,7,3,4.2466426,1.2466425895690918,0.41554752985636395
2,8,11,6.4327874,-4.5672125816345215,-0.4152011437849565
2,9,21,13.419062,-7.580938339233398,-0.360997063773019
2,10,17,15.880184,-1.1198158264160156,-0.0658715192009421
2,12,5,2.768501,-2.231498956680298,-0.44629979133605957
2,14,3,6.7893677,3.78936767578125,1.26312255859375
2,15,6,2.436376,-3.5636239051818848,-0.5939373175303141
2,16,4,1.0450346,-2.954965353012085,-0.7387413382530212
2,23,3,0.5810684,-2.4189316034317017,-0.8063105344772339
2,24,6,2.8778312,-3.122168779373169,-0.5203614632288615
2,25,8,9.598406,1.5984058380126953,0.19980072975158691
2,26,1,5.7737803,4.773780345916748,4.773780345916748
2,28,2,0.10624415,-1.893755853176117,-0.9468779265880585
3,1,46,29.230284,-16.769716262817383,-0.36455904919168225
3,2,9,2.779342,-6.22065806388855,-0.69118422932095
3,3,222,270.48007,48.480072021484375,0.21837870279947916
3,4,14,3.7860293,-10.21397066116333,-0.7295693329402378
3,5,22,18.564833,-3.4351673126220703,-0.15614396875554865
3,6,26,9.955683,-16.0443172454834,-0.6170891248262845
3,7,7,6.4476104,-0.5523896217346191,-0.0789128031049456
3,8,12,6.6333694,-5.366630554199219,-0.4472192128499349
3,9,132,125.71394,-6.2860565185546875,-0.04762164029208096
3,10,6,6.0635567,0.06355667114257812,0.010592778523763021
3,11,6,14.9794855,8.979485511779785,1.4965809186299641
3,12,3,2.4174151,-0.5825848579406738,-0.19419495264689127
3,13,1,1.2163991,0.21639907360076904,0.21639907360076904
3,14,5,4.70866,-0.2913398742675781,-0.058267974853515626
3,15,6,8.08673,2.0867300033569336,0.34778833389282227
3,16,6,4.82818,-1.1718201637268066,-0.19530336062113443
3,23,7,1.6894163,-5.310583710670471,-0.7586548158100673
3,24,16,13.524213,-2.4757871627807617,-0.1547366976737976
3,25,9,17.696661,8.696660995483398,0.9662956661648221
4,1,82,89.23676,7.236763000488281,0.08825320732302783
4,2,17,9.390579,-7.6094207763671875,-0.4476129868451287
4,3,37,29.893452,-7.106548309326172,-0.19206887322503166
4,4,111,102.95565,-8.044349670410156,-0.07247161865234375
4,5,11,12.74931,1.7493095397949219,0.15902813998135654
4,6,13,7.0997267,-5.900273323059082,-0.45386717869685245
4,7,4,5.24237,1.2423701286315918,0.31059253215789795
4,8,92,120.44249,28.442489624023438,0.3091574959132982
4,9,40,25.387798,-14.612201690673828,-0.3653050422668457
4,10,7,7.0584817,0.058481693267822266,0.008354527609688895
4,12,4,5.322673,1.3226728439331055,0.33066821098327637
4,14,4,5.0884376,1.088437557220459,0.27210938930511475
