"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
837,60.8,16,0.123431,60.8,0.00,11.5965,7.92814,0.0987347,0.00,10.9962
838,1359.80,351.5,2.76381,1359.80,23,12.033,8.79121,1.85544,0.682325,11.2394
839,431.8,109.4,0.780673,431.8,13,11.5901,7.87633,0.00,0.00,10.9989
840,349.9,85.5,0.591186,349.9,23,11.7212,8.11542,0.283887,0.00,11.0651
841,739.7,190.7,1.43656,739.7,14,11.6674,7.91807,0.0907105,0.00,11.068
842,203.3,52.1,0.378831,203.3,5,11.8597,8.33664,1.07813,0.00,11.1611
843,66.4,17.2,0.125773,66.4,1,11.8185,8.25084,0.81046,0.00,11.1412
844,4584.70,936.1,0.132451,4584.70,698,11.7407,8.29528,0.00,0.00,11.1048
845,1362.60,344.9,2.4346,1362.60,45,11.258,7.33101,0.00,0.00,10.8326
847,652.2,159.8,0.943644,652.2,43,11.553,7.72185,0.00,0.00,11.0153
848,28,6,0.00,28,5,11.731,8.02569,0.00,0.00,11.1105
901,11510.90,2481.90,0.882344,11510.90,1623.00,12.9028,10.4449,2.77746,4.91703,11.6452
902,1759.90,383.9,0.375308,1759.90,210,12.739,10.0362,2.47667,4.27628,11.5894
903,341.6,83.2,0.514377,341.6,22,12.5692,9.55552,1.53657,2.84354,11.5293
904,13692.30,2981.20,0.512189,13692.30,941,13.0396,10.7451,2.83944,5.68653,11.7044
905,7702.40,1683.90,0.304832,7702.40,456,13.0618,10.7661,2.59547,5.35054,11.7349
906,3549.80,757.4,1.59889,3549.80,466,13.0473,10.3908,2.22284,4.13497,11.7762
907,8443.70,1823.70,0.300601,8443.70,699,13.0414,10.6503,2.49275,6.12261,11.6996
908,896.9,217.5,1.30425,896.9,61,12.8128,10.1824,2.42094,4.91007,11.6094
909,5165.00,1130.30,0.171188,5165.00,308,13.0572,10.5832,2.59344,4.85036,11.7569
910,124.6,32.5,0.25022,124.6,1,12.2661,8.93128,0.762035,1.84658,11.3953
911,953.9,222.1,0.946334,953.9,55,12.9053,10.3958,2.53232,5.31282,11.6403
912,1240.30,312.1,2.15431,1240.30,52,12.9065,10.1044,2.14235,3.93499,11.7175
913,112.2,24.6,0.00363468,112.2,6,13.0368,10.6485,2.5332,6.01941,11.7035
914,375.8,96,0.754431,375.8,10,12.9446,10.2282,2.27024,4.05863,11.7319
915,1074.60,258.5,1.41768,1074.60,60,12.8457,9.97607,2.19094,4.1863,11.6825
916,707.7,168.5,0.923474,707.7,56,12.6994,9.88411,1.95722,3.27998,11.5795
917,1208.90,292.1,1.71206,1208.90,95,12.9065,10.4047,2.05815,4.38707,11.6459
918,521.4,120.7,0.596102,521.4,47,12.4506,9.27999,1.10097,1.76561,11.4858
919,470.3,114,0.808058,470.3,34,12.5809,9.54967,1.37319,2.46517,11.5398
920,1955.20,438,1.4809,1955.20,197,12.6483,9.761,1.74872,3.11704,11.5589
921,16062.10,3517.90,0.678754,16062.10,992,12.9995,10.691,2.3415,4.90956,11.6778
922,8401.50,1853.30,2.86592,8401.50,772,13.0219,10.5882,2.37207,5.20896,11.699
924,2447.80,486.7,1.99193,2447.80,256,12.812,9.92031,2.22988,4.0118,11.6706
925,2617.70,434.7,3.9036,2617.70,104,12.9037,10.2391,2.46996,4.51594,11.6704
926,18582.50,4067.60,0.772039,18582.50,1139.00,13.1006,10.8576,2.36312,5.35953,11.7242
927,452,113.2,1.07479,452,21,12.901,10.4287,2.06723,4.17787,11.6447
928,6600.50,1445.10,0.322617,6600.50,380,13.1279,11.0394,2.27928,5.12838,11.7229
929,631.1,154.2,0.90784,631.1,25,12.1782,8.71415,0.011959,0.00,11.3576
930,17591.10,3847.00,1.1788,17591.10,1223.00,13,10.5511,2.24356,5.272,11.6979
931,562.1,141.1,1.00967,562.1,24,12.4136,9.19938,0.400878,1.4994,11.4666
932,7357.40,1606.40,2.26611,7357.40,1093.00,12.7331,10.0851,2.02904,3.17397,11.5887
933,4670.20,958.3,0.508958,4670.20,746,12.7876,10.211,2.09247,3.8412,11.6083
934,23493.70,5061.60,0.459348,23493.70,3086.00,12.9723,10.6446,1.99356,4.67546,11.6762
935,4306.90,680.4,3.48911,4306.90,307,12.8493,10.1279,2.41423,4.20387,11.6571
936,8150.90,1782.70,0.321632,8150.90,509,13.0816,10.8128,2.00161,5.21263,11.7192
937,1353.60,200,1.40678,1353.60,71,12.6243,9.83813,1.77288,2.77438,11.5458
938,13592.80,2972.90,0.657163,13592.80,777,13.1413,10.9152,2.3137,6.44184,11.7433
939,51311.90,11211.20,2.30473,51311.90,3272.00,12.9958,10.7484,2.54071,5.86646,11.6749
940,1900.50,450.6,2.19742,1900.50,158,11.9653,8.46163,0.712295,0.00,11.2493
941,720.4,185.7,1.427,720.4,10,12.4044,9.26948,1.40162,2.14691,11.457
942,6947.20,1105.40,1.29216,6947.20,946,12.8039,10.1202,1.98322,4.98955,11.6268
943,2244.90,496.4,1.01452,2244.90,319,12.8876,10.3093,1.42063,4.25601,11.6565
944,3066.40,646.4,0.00666369,3066.40,566,12.9034,10.3182,1.46069,4.80535,11.6636
945,15432.30,3371.40,0.63771,15432.30,959,13.0279,10.7185,2.27813,5.51586,11.6959
946,116,28.5,0.20938,116,7,12.3191,8.98975,0.00,0.00,11.4232
947,2376.70,575.8,4.01816,2376.70,89,12.9865,10.8159,2.43849,6.00158,11.6613
948,0.00,0.00,0.00,0.00,0.00,12.7973,9.99098,1.57184,4.56433,11.6431
949,712.8,174.4,1.10986,712.8,41,12.3965,9.22345,1.11186,1.97827,11.453
950,212.5,44.8,0.0427034,212.5,40,12.4499,9.31499,1.05976,2.49593,11.4771
951,30.4,8,0.0616079,30.4,0.00,12.2481,8.87425,0.00,0.219439,11.3889
952,5781.40,1214.30,0.885958,5781.40,1087.00,12.8526,10.2918,2.27787,5.73868,11.6386
953,4856.00,829.1,0.692172,4856.00,617,12.9669,10.6957,2.16291,5.09608,11.6718
954,19371.70,4065.00,0.113231,19371.70,3663.00,12.8507,10.2415,1.37809,4.16744,11.6404
955,9259.60,1898.00,0.114125,9259.60,1683.00,12.6225,9.72072,0.763075,3.53176,11.5676
956,11252.70,2268.80,0.38736,11252.70,1684.00,12.9666,10.7426,1.9646,4.87319,11.6658
957,4202.90,898,0.000819217,4202.90,757,12.8803,10.5489,1.98256,4.84851,11.6393
958,105.4,25,0.117348,105.4,10,12.211,8.81074,0.00,2.189,11.373
959,12117.10,2633.90,0.341951,12117.10,1105.00,12.8097,10.2261,1.55333,4.35739,11.6139
960,7525.40,1647.20,0.272678,7525.40,453,12.7574,10.1794,1.5633,4.28896,11.5934
961,3515.10,757.7,0.308794,3515.10,562,12.5199,9.43194,0.50295,3.27844,11.5216
962,14959.20,3199.20,0.336204,14959.20,1828.00,12.5694,9.63418,0.128347,2.68338,11.5466
963,108.2,25,0.168222,108.2,12,12.2347,8.89659,0.00359354,1.48404,11.3777
