Expression,Segment,Coefficient,Description
se.n_hbsch_size.D,,0.597,Size term
sov_skim.CongTime,,-0.222,
"max(0, sov_skim.CongTime - 30)",,0.256,Excess time over 30 min
intra_cluster.IZ,,0,intrazonal
sov_skim.CongTime > 35,,-99,Cutoff
