Expression,Segment,Coefficient,Description
se.n_hbsr_size.D,,0.342,Size term
nz(mc_logsums.NonHHAutoComposite),,0,
nz(mc_logsums.TransitComposite),,0,
intra_cluster.IZ,,0.259,
sov_skim.CongTime,,-0.201,
"max(0, sov_skim.CongTime - 20)",,0.095,
se.access_transit.D,v0,0.364,
se.access_walk.D * intra_cluster.IZ,v0,0.259,
sov_skim.CongTime > 50,,-99,Cutoff
