variable,name
H12_001N,hh_tot
H12_003N,siz1
H12_004N,siz2
H12_005N,siz3
H12_006N,siz4
H12_007N,siz5
H12_008N,siz6
H12_009N,siz7
H12_011N,siz1
H12_012N,siz2
H12_013N,siz3
H12_014N,siz4
H12_015N,siz5
H12_016N,siz6
H12_017N,siz7
P15_001N,hh_pop
P18_001N,gq_pop
