Field,walkability_attr,gs_home_attr,gs_work_attr,gs_other_attr,Description
HH,1.9,6.5,0,1.9,These are the attraction rates used for the following accessibility measures
K12,1.5,0,1.5,0,walkability: propensity to walk
College,5.7,2.1,3.6,0,gsindex: mixed use index calculation
StudGQ_UNR,5.7,2.1,0,0,
BuildingS_UNR,0,0,20,0,
Retail,18.7,0,1.5,17.2,
Service_RateLow,5.6,0,1.5,4.1,
Service_RateHigh,5.6,0,1.5,4.1,
Office,3,0,1.5,4.1,
Industry,3,0,1.5,1.5,
