Expression,Segment,Coefficient,Description
se.nhb_walkbike_size.D,,0.519,Size term
skim.[Length (skim)],,-0.497,
skim.[Length (skim)] > 1,,-2.42,Destination more than a mile away
IntraCluster.IC,,0.539,Intra Cluster Dummy
IntraCluster.IZ,,1.16,Intra Zonal Dummy
se.EmpDensity.D / 1000,,0.00108,Total Emp Density
se.access_walk.D,v0,0.157,Access Walk
