Expression,Segment,Coefficient,Description
se.nhb_w_auto_size.D,,0.763,Size term
skim.CongTime,,-0.191,
"Max(skim.CongTime - 30, 0)",,0.133,Time excess of 30 min
IntraCluster.IC,,0.152,Intra Cluster Dummy
IntraCluster.IZ,,0.765,Intra Zonal Dummy
IntraCluster.IZ,,0.625,Additional Adjustment
