purpose,sov,hov2,hov3
N_HBO,0.16573676392644038,0.722719687447347,0.11154354862621255
N_HBSHP,0.40095892626629803,0.5426820419277957,0.05635903180590618
N_HBSR,0.2568477932978603,0.6801303166338735,0.0630218900682663
W_HBO,0.14606753769998307,0.8410581483991438,0.012874313900873112
W_HBW,0.32240487423093506,0.6390695789395574,0.03852554682950752
