term,estimated_as,estimate,std.error,statistic,p.value
N_HBO_hov2,N_HBO_auto,0.09428932934566793,0.00980176890333339,9.619623791946571,0
N_HBO_hov3,N_HBO_auto,0.09428932934566793,0.00980176890333339,9.619623791946571,0
N_HBO_sov,N_HBO_auto,0.09428932934566793,0.00980176890333339,9.619623791946571,0
N_HBSR_hov2,N_HBSR_auto,0.08164122546213946,0.010729506611130582,7.609038180511156,0
N_HBSR_hov3,N_HBSR_auto,0.08164122546213946,0.010729506611130582,7.609038180511156,0
N_HBSR_sov,N_HBSR_auto,0.08164122546213946,0.010729506611130582,7.609038180511156,0
alpha,NA,0.008817697189986345,0.6109980092438916,-9.729321038204404,0
gamma,NA,2.165283773714412,0.27592591796248106,7.847337392962252,0
r_sq,NA,0.2932636496991974,NA,NA,NA
