term,estimated_as,estimate,std.error,statistic,p.value
N_HBO_lb,N_HBO_bus,0.006262887,0.004712986,1.328857562,0.184
N_HBSR_lb,N_HBSR_bus,0.008752738,0.003923752,2.230706334,0.02577
N_HBO_walkbike,N_HBO_walkbike,0.033600571,0.006622009,5.074075064,0
r_sq,NA,0.026658887,NA,NA,NA
