term,estimated_as,estimate,std.error,statistic,p.value
N_HBO_hov2,N_HBO_auto,0.04512065734031245,0.00557068275396843,8.099663781458297,0
N_HBO_hov3,N_HBO_auto,0.04512065734031245,0.00557068275396843,8.099663781458297,0
N_HBO_sov,N_HBO_auto,0.04512065734031245,0.00557068275396843,8.099663781458297,0
N_HBSHP_hov2,N_HBSHP_auto,0.006929286484804193,0.006219433390400912,1.1141346887803107,0.26531
N_HBSHP_hov3,N_HBSHP_auto,0.006929286484804193,0.006219433390400912,1.1141346887803107,0.26531
N_HBSHP_sov,N_HBSHP_auto,0.006929286484804193,0.006219433390400912,1.1141346887803107,0.26531
alpha,NA,0.045885639829449335,0.5107470753203371,-7.196617465739015,0
gamma,NA,1.416918946468305,0.23076573316452834,6.140075162104282,0
r_sq,NA,0.26212213350794267,NA,NA,NA
