term,estimated_as,estimate,std.error,statistic,p.value
N_HBSHP_hov3,N_HBSHP_hov,0.6679763707327199,0.011144093850418929,59.939944844201875,0
N_HBO_hov2,N_HBO_hov2,-0.0016537590038700001,0.007401028329469056,-0.22344989510243363,0.8232
alpha,NA,0.56069819622894,0.2432984115612267,-2.4385620952078093,0.0148
gamma,NA,0.26474390342595217,0.10990481955548373,2.4088470778326547,0.01606
r_sq,NA,0.14287082832056458,NA,NA,NA
