trip_type,rate,factor
BLB,0.124136,HotelRms
BLB,0.222901,Retail
BLB,0.0071,TotalEmp
BLB,1.146074,NAICS72
TLBES,3.397572,NAICS71
TLBES,0.422516,NAICS72
TLBGD,3.397572,NAICS71
TLBGD,0.422516,NAICS72
TLBOTH,0.166057,HotelRms
TLBOTH,1.443487,Retail
TLBOTH,0.888962,NAICS72
