trip_type,tod,pa_fac
AUTO,AM,0.4534368
AUTO,MD,0.511063489
AUTO,PM,0.540429449
AUTO,NT,0.466457389
TRK,AM,0.452536545
TRK,MD,0.515917711
TRK,PM,0.568704111
TRK,NT,0.446256979
