to_field,from_field,factor,Description
EE_AUTO_MARG_AM,EE_AUTO_MARG,0.117990676,
EE_AUTO_MARG_MD,EE_AUTO_MARG,0.480586087,
EE_AUTO_MARG_PM,EE_AUTO_MARG,0.188427403,
EE_AUTO_MARG_NT,EE_AUTO_MARG,0.212995838,
EE_TRK_MARG_AM,EE_TRK_MARG,0.155008181,
EE_TRK_MARG_MD,EE_TRK_MARG,0.462996096,
EE_TRK_MARG_PM,EE_TRK_MARG,0.140524087,
EE_TRK_MARG_NT,EE_TRK_MARG,0.241471617,
