"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements"
113,"Internal",64,97,0.00,96406.00,77.3196,4.12371,18.5567,39,20,3,1,1,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,15,0.00,0.00,2,0.00,0.00,11,62,0.00,0.00,0.00,0.00,,,,,,,0.00,2,3.3,22.7,64,0.00,14.876,0
114,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,9.09091,0
115,"Internal",94,144,0.00,45625.00,81.9444,5.55556,12.5,56,31,2,5,0.00,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8,0.00,0.00,0.00,0.00,88,453,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,26.4,72.6,453,0.00,72.2222,0
116,"Internal",12,19,0.00,40313.00,68.4211,10.5263,21.0526,7,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,3,20,5,0.00,0.00,91,,,,,,,0.00,0.00,0.9,9.1,26,0.00,50,0
117,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,38,0.00,0.00,83,142,227,6,0.00,1,59,3,36,185,21,54,0.00,0.00,,,,,,,0.00,55,35,542,226,0.00,72.8916,0
118,"Internal",290,465,0.00,96406.00,63.2258,5.16129,31.6129,155,116,5,9,4,0.00,1,0.00,0.00,0.00,,6,,0.00,0.00,0.00,49,0.00,0.00,0.00,2,18,0.00,0.00,0.00,0.00,6,7,6,0.00,1,0.00,16,11,59,22,0.00,0.00,0.00,,,,,,,26.5,25.5,6.5,61.5,77,0.00,27.044,0
119,"Internal",160,282,0.00,47273.00,78.3688,2.83688,18.7943,77,58,14,9,1,1,0.00,0.00,0.00,0.00,,10,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1768.00,,,,,,,0.00,0.00,0.00,5,0.00,0.00,37.5,0
120,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,3,2,0.00,0.00,0.00,16,85,1,0.00,0.00,0.00,,,,,,,0.00,2,4.8,21.2,85,0.00,10.7527,0
121,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,0.00,0.00,6,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00,16,0.00,0.00,,,,,,,0.00,16,0.00,7,8,0.00,40.9091,0
122,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,1,6,30,30,3,0.00,0.00,,,,,,,0.00,3,2,40,36,0.00,45.0082,0
123,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,204,1055.00,2,0.00,0.00,1572.00,,,,,,,0.00,0.00,63,152,1055.00,0.00,37.4332,0
124,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16,0.00,0.00,0.00,0.00,0.00,0.00,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,8,16,0.00,40,0
125,"Internal",215,278,0.00,40313.00,73.0216,1.79856,25.1799,172,31,8,2,1,0.00,1,0.00,0.00,0.00,,7,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8,0.00,0.00,0.00,0.00,39,0.00,0.00,1,0.00,0.00,28,,,,,,,0.00,0.00,7.8,40.2,0.00,0.00,19.6721,0
126,"Internal",24,39,0.00,14621.00,30.7692,10.2564,58.9744,13,8,2,1,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30,0.00,0.00,0.00,0.00,11,0.00,0.00,0.00,0.00,0.00,30,155,0.00,0.00,0.00,214,,,,,,,0.00,0.00,9,32,185,0.00,45.0082,0
