avg_size,siz1,siz2,siz3,siz4
2.51,0.2305,0.3615,0.1652,0.2428
2.52,0.2284,0.3608,0.1659,0.2449
2.53,0.2263,0.36,0.1667,0.247
2.54,0.2242,0.3593,0.1674,0.2491
2.55,0.2222,0.3585,0.1681,0.2512
2.56,0.2202,0.3576,0.1689,0.2533
2.57,0.2183,0.3567,0.1696,0.2554
2.58,0.2164,0.3558,0.1703,0.2575
2.59,0.2145,0.3549,0.171,0.2596
2.6,0.2126,0.3541,0.1717,0.2616
2.61,0.2108,0.3532,0.1723,0.2637
2.62,0.209,0.3522,0.173,0.2658
2.63,0.2073,0.3512,0.1737,0.2678
2.64,0.2056,0.3503,0.1743,0.2698
2.65,0.2039,0.3492,0.175,0.2719
2.66,0.2023,0.3482,0.1756,0.2739
2.67,0.2007,0.3472,0.1762,0.2759
2.68,0.1991,0.3462,0.1768,0.2779
2.69,0.1975,0.3453,0.1774,0.2798
2.7,0.196,0.3442,0.178,0.2818
2.71,0.1946,0.343,0.1786,0.2838
2.72,0.1931,0.342,0.1792,0.2857
2.73,0.1917,0.3409,0.1797,0.2877
2.74,0.1903,0.3398,0.1803,0.2896
2.75,0.189,0.3387,0.1808,0.2915
2.76,0.1877,0.3375,0.1814,0.2934
2.77,0.1864,0.3364,0.1819,0.2953
2.78,0.1852,0.3353,0.1824,0.2971
2.79,0.184,0.3341,0.1829,0.299
2.8,0.1829,0.3329,0.1834,0.3008
2.81,0.1817,0.3318,0.1839,0.3026
2.82,0.1806,0.3307,0.1843,0.3044
2.83,0.1796,0.3294,0.1848,0.30620000000000003
2.84,0.1785,0.3283,0.1852,0.308
2.85,0.1776,0.327,0.1857,0.3097
2.86,0.1766,0.3258,0.1861,0.3115
2.87,0.1757,0.3246,0.1865,0.3132
2.88,0.1748,0.3234,0.1869,0.3149
2.89,0.1739,0.3222,0.1873,0.3166
2.9,0.1731,0.321,0.1876,0.3183
2.91,0.1723,0.3198,0.188,0.3199
2.92,0.1716,0.3185,0.1884,0.3215
2.93,0.1708,0.3173,0.1887,0.3232
2.94,0.1702,0.3161,0.189,0.3247
2.95,0.1695,0.3148,0.1893,0.3264
2.96,0.1689,0.3136,0.1896,0.3279
2.97,0.1683,0.3124,0.1899,0.3294
2.98,0.1678,0.3111,0.1902,0.3309
2.99,0.1673,0.3099,0.1905,0.3323
3,0.1668,0.3086,0.1907,0.3339
3.01,0.1663,0.3074,0.1909,0.3354
3.02,0.1659,0.30620000000000003,0.1912,0.3367
3.03,0.1655,0.3049,0.1914,0.3382
3.04,0.1652,0.3037,0.1916,0.3395
3.05,0.1649,0.3025,0.1918,0.3408
3.06,0.1646,0.3012,0.1919,0.3423
3.07,0.1644,0.3,0.1921,0.3435
3.08,0.1642,0.2988,0.1922,0.3448
3.09,0.164,0.2976,0.1923,0.3461
3.1,0.1639,0.2964,0.1925,0.3472
3.11,0.1638,0.2952,0.1926,0.3484
3.12,0.1637,0.294,0.1926,0.3497
3.13,0.1637,0.2928,0.1927,0.3508
3.14,0.1637,0.2916,0.1928,0.3519
3.15,0.1637,0.2904,0.1928,0.3531
3.16,0.1638,0.2893,0.1928,0.3541
3.17,0.1639,0.2881,0.1929,0.3551
3.18,0.164,0.2869,0.1929,0.3562
