purpose,p_field,a_field,constraint,imp_core,a,b,c
W_HBW,W_HBW_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
W_HBO,W_HBO_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
N_HBSCH,N_HBSCH_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
N_HBO,N_HBO_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
N_HBSHP,N_HBSHP_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
N_HBSR,N_HBSR_walk,NMAttractions,Production,WalkTime,5,0.563,0.1896
